"Date","Price","Open","High","Low","Vol.","Change %"
"09/19/2016","4.11","4.11","4.13","4.09","25.57M","0.49%"
"09/14/2016","4.09","4.13","4.13","4.08","34.13M","-0.97%"
"09/13/2016","4.13","4.16","4.17","4.12","27.61M","-0.48%"
"09/12/2016","4.15","4.20","4.20","4.09","76.99M","-2.35%"
"09/09/2016","4.25","4.27","4.28","4.23","36.10M","-0.47%"
"09/08/2016","4.27","4.28","4.29","4.25","30.40M","-0.23%"
"09/07/2016","4.28","4.28","4.32","4.26","53.49M","0.00%"
"09/06/2016","4.28","4.24","4.29","4.20","61.88M","0.71%"
"09/05/2016","4.25","4.24","4.27","4.22","31.32M","0.47%"
"09/02/2016","4.23","4.23","4.24","4.21","35.46M","0.00%"
"09/01/2016","4.23","4.29","4.29","4.22","57.68M","-1.17%"
"08/31/2016","4.28","4.27","4.29","4.25","34.23M","0.00%"
"08/30/2016","4.28","4.26","4.28","4.25","39.06M","0.47%"
"08/29/2016","4.26","4.33","4.34","4.21","77.41M","-1.62%"
"08/26/2016","4.33","4.33","4.37","4.30","49.99M","0.00%"
"08/25/2016","4.33","4.37","4.37","4.29","56.36M","-1.14%"
"08/24/2016","4.38","4.41","4.44","4.37","42.30M","-1.13%"
"08/23/2016","4.43","4.45","4.48","4.38","58.04M","-0.67%"
"08/22/2016","4.46","4.56","4.58","4.44","62.35M","-2.19%"
"08/19/2016","4.56","4.55","4.59","4.47","104.01M","-0.22%"
"08/18/2016","4.57","4.44","4.63","4.41","167.92M","3.16%"
"08/17/2016","4.43","4.49","4.55","4.40","72.23M","-1.12%"
"08/16/2016","4.48","4.44","4.63","4.43","202.32M","1.36%"
"08/15/2016","4.42","4.28","4.47","4.27","177.33M","3.27%"
"08/12/2016","4.28","4.22","4.29","4.21","44.27M","1.42%"
"08/11/2016","4.22","4.27","4.30","4.21","28.75M","-1.17%"
"08/10/2016","4.27","4.25","4.34","4.25","51.27M","0.23%"
"08/09/2016","4.26","4.24","4.27","4.21","37.56M","0.24%"
"08/08/2016","4.25","4.22","4.25","4.19","34.38M","0.24%"
"08/05/2016","4.24","4.27","4.28","4.21","24.68M","-0.70%"
"08/04/2016","4.27","4.26","4.29","4.20","40.98M","0.23%"
"08/03/2016","4.26","4.23","4.31","4.22","53.73M","0.47%"
"08/02/2016","4.24","4.19","4.24","4.18","22.66M","1.19%"
"08/01/2016","4.19","4.22","4.23","4.14","57.60M","-1.64%"
"07/29/2016","4.26","4.36","4.45","4.25","94.48M","-3.18%"
"07/28/2016","4.40","4.29","4.49","4.26","158.88M","1.85%"
"07/27/2016","4.32","4.29","4.36","4.15","207.67M","0.70%"
"07/26/2016","4.29","4.17","4.33","4.16","113.57M","3.13%"
"07/25/2016","4.16","4.19","4.20","4.15","33.04M","-0.72%"
"07/22/2016","4.19","4.21","4.22","4.16","59.09M","-0.48%"
"07/21/2016","4.21","4.21","4.24","4.18","58.59M","0.00%"
"07/20/2016","4.21","4.23","4.25","4.20","51.35M","-0.47%"
"07/19/2016","4.23","4.27","4.29","4.18","86.94M","-1.40%"
"07/18/2016","4.29","4.28","4.38","4.22","150.34M","0.94%"
"07/15/2016","4.25","4.25","4.28","4.21","86.18M","-0.47%"
"07/14/2016","4.27","4.28","4.30","4.21","141.02M","-1.61%"
"07/13/2016","4.34","4.06","4.46","4.05","376.99M","6.90%"
"07/12/2016","4.06","3.90","4.09","3.90","218.44M","4.10%"
"07/11/2016","3.90","3.91","3.95","3.89","67.14M","-0.26%"
"07/08/2016","3.91","3.94","3.94","3.89","53.67M","-0.76%"
"07/07/2016","3.94","3.91","3.97","3.88","91.44M","0.77%"
"07/06/2016","3.91","3.89","3.92","3.86","81.49M","0.00%"
"07/05/2016","3.91","3.87","3.95","3.86","109.31M","1.03%"
"07/04/2016","3.87","3.81","3.88","3.80","107.81M","1.31%"
"07/01/2016","3.82","3.82","3.84","3.81","46.17M","0.26%"
"06/30/2016","3.81","3.82","3.82","3.79","61.80M","-1.55%"
"06/29/2016","3.87","3.85","3.91","3.83","102.57M","0.52%"
